id,tsne_x,tsne_y,cluster
2-2450,8.1048306377644,5.586999704771188,3
2-4552,2.461719989590539,9.983659547192605,2
2-24438,-7.395494257120509,-5.273372201002886,2
2-3400,8.893697470230569,4.479484676706887,3
2-11834,-1.2954036120754888,-2.245195959482747,2
2-3622,-1.8972718531762955,11.924677720890836,2
2-10891,2.275045671403225,8.096100975347813,2
2-16633,-8.363751214637777,7.982351006280939,2
2-2330,-5.307661305235026,6.306248960138861,2
2-3503,11.680911016882591,9.531196148321353,3
2-24435,-4.820793417143501,6.280066822013592,2
2-7977,-0.7028866514945534,-5.439593098584455,2
2-31635,11.929211940144034,-15.246107459943476,2
2-3485,4.50882967040388,-7.902943370949429,2
2-19752,-21.84320875566232,-0.37653031700471856,4
2-24629,-6.110248077649651,-9.203862885140651,1
2-4566,-10.571270499437853,-14.113974655007258,2
2-25915,5.68515848796011,13.85540095943647,3
2-3410,6.986731890656445,1.7660333352713269,3
2-3607,2.7965949921315483,5.3697370760398515,2
2-32918,11.88346086657826,-14.280732371894363,2
2-2457,14.882224132076283,8.51559829074816,3
2-19103,-0.9127765614941086,-4.535544890797982,3
2-2212,-10.745295396731008,8.94907318349245,2
2-38330,0.47052246923327923,0.8112195746464512,2
2-27084,-4.260668733890666,8.038530545865965,2
2-10327,1.3405847303083889,-6.412711073817051,2
2-13990,-15.990659294708246,-11.567700076555033,2
2-15632,-2.2965594297865666,1.1349885072120778,2
2-38367,1.596886786625124,8.072579514441973,2
2-4738,3.1177371902431745,9.152961271116855,2
2-15505,-1.5932912206072816,-3.592406623825892,2
2-3382,-9.255112072477568,1.364560289397113,2
2-3609,7.451504165955628,5.678096648782297,3
2-6339,0.9734725099605778,-8.536891592319988,2
2-19813,-20.362928143150196,-2.1871585794922543,4
2-23293,-7.7438532883838755,2.4309852721377183,2
2-4809,10.247797775594018,16.895023779681033,3
2-14993,4.003387606211225,-10.810846260361227,2
2-4830,1.2499431995511947,7.193896611489483,2
2-15540,-7.530590896815438,-1.8920631270226131,1
2-11252,-1.6878038814568561,0.8513092985438884,2
2-2307,17.730342389319578,-0.5352692844614857,2
2-1153,-4.353664526987263,-4.33670440998879,2
2-2104,-13.363511197939875,-2.9775333940815503,2
2-8420,-0.8888683921486407,7.07861649361545,2
2-14682,13.102631636265487,-6.190719302899925,2
2-25209,-3.397162368234847,-2.117140463914504,2
2-35455,5.352518879431015,-8.715926217210002,2
2-3570,15.180987910707204,10.703170251931994,2
2-2250,-13.455793548731043,-10.963563302903045,2
2-3442,10.988852318943271,17.036667560017122,2
2-22951,-2.5566127156861285,9.570660065352513,2
2-15509,-20.213111287671488,0.6905638675324787,4
2-20353,-9.99847400637541,3.593107053785229,3
2-3368,9.293724687262907,6.705096205637702,3
2-30744,-7.003926351208643,0.5514748559994023,2
2-15644,-9.810366043854685,-11.564506606685917,1
2-15650,6.319769287934832,-1.039074660708273,2
2-19801,-20.84481505757399,0.5306326998607462,4
2-15536,-19.599933185618198,2.292124430744567,4
2-190,6.395848908098115,5.623529177471825,3
2-30954,2.4547789373407976,-4.223009033286647,2
2-22958,-6.863713580810284,-9.341495504693237,1
2-15470,5.2854158663518085,-0.39230504202469246,3
2-15558,-11.97314460791446,-4.5747371494853235,2
2-15480,0.21308718100463608,-1.751515526727703,3
2-15483,-5.915335853991223,-4.3214076019029495,1
2-22809,-4.435906793085538,-10.103433007985192,1
2-30846,14.032867772347894,-8.485750075319979,2
2-9542,-16.989081114606662,-5.3002504283084555,2
2-15643,-16.751151886618768,1.6763605177213619,2
2-3731,-6.244529386321968,-11.649445551523147,1
2-3491,-9.670916921200437,7.629141375634386,2
2-19531,-5.583737992823133,-1.1677335434470708,2
2-3657,1.3837504091066168,7.844053839215597,2
2-2554,-4.420426626559766,13.310892650096521,2
2-38518,14.152226345239244,-10.35444758962647,2
2-38360,-1.411474117704672,2.8681388665036303,2
2-29611,-12.079036829317817,6.775386293004039,2
2-31838,-19.312712635099345,1.1504347400403325,4
2-38536,8.501040717792637,9.298652405563624,3
2-4925,5.612934362095851,13.171503515533303,3
2-3375,4.543697098860329,3.787074775187506,2
2-1222,-0.4353323359883103,-3.683447343641969,2
2-4555,0.9212750124891332,12.266618874320384,2
2-15593,2.784021889153475,-12.83761654882721,4
2-3399,12.960185805021602,5.891836065670093,3
2-3574,0.2983411874033933,9.827090101351562,2
2-2020,4.00695515914,-6.3877286144233905,2
2-15419,-20.592585256874322,-2.325375132389433,4
2-7206,11.621084551626282,-13.76016520347156,2
2-25911,7.483956953728715,-8.070994852961226,2
2-4904,6.68346242187966,13.731715815610407,3
2-38985,-8.553565548210981,-11.983879413783091,2
2-4875,1.6440329864922383,11.218489028944456,2
2-31327,-4.967777159100686,-10.538196510983926,1
2-9030,10.482462059864659,-8.75525881402723,2
2-38516,3.8318174273855385,7.615055506250298,2
2-6929,-11.423436823076862,-5.843356957350812,2
2-19850,-20.19374788802072,3.5013080201161944,4
2-17323,-8.315878543582826,0.1938528677881216,2
2-35082,-13.251449254427166,-7.088879317004346,2
2-20832,0.13411865924441366,6.159004209670673,2
2-9748,-1.6565560800309564,-16.416692102512922,2
2-2228,2.799653885706348,3.8873149838613945,2
2-39316,10.913486956497238,13.129679190038036,2
2-28227,1.8471784693292745,-4.366064207962147,2
2-7411,12.942330263299429,-11.895333196788537,2
2-7036,-3.9756515876718512,-2.9869557709783248,2
2-5937,2.2990349471095173,-1.2894305466333849,2
2-8244,1.1153758444285962,6.190021380446474,2
2-26774,-5.8563246299434315,1.9309974298018908,2
2-1745,15.330939519238662,2.988029913773989,3
2-1685,-6.505203568236629,14.086236258076118,2
2-15486,6.151280755212797,-6.23749538283821,2
2-4800,-1.7364352240321224,-14.225116420899566,2
2-22977,-13.278945693234471,7.051419350351378,2
2-15578,4.698520206034306,-6.4974644632811724,2
2-13416,-16.607315009106824,-4.801902746886942,2
2-38509,-8.774159409787435,-11.71226647080714,2
2-3858,1.9835376218752148,-4.55598960382893,2
2-204,0.6986908568589961,13.904492614424143,2
2-9204,-6.0502195796213485,-2.323229269753125,2
2-15586,-6.120019009092622,-17.4797960138059,2
2-38376,1.61304455361531,9.311417779736281,1
2-471,-11.983529222914377,7.383826018297137,2
2-2454,15.71506553336906,5.908688630162769,2
2-3371,16.008273247583105,11.72522451921824,3
2-2548,8.825361990680793,1.4596993441237807,3
2-30355,11.134668349182895,6.196972972648306,3
2-19701,-2.6871969680074157,-1.199439408634303,2
2-38396,-10.970758273520346,-6.6153262111057805,2
2-36582,-10.956945404154316,6.418101719142986,4
2-19284,-6.702412111531484,3.6030740003004578,2
2-26559,13.24015195898535,-8.89742333749423,2
2-38469,-11.154969802060883,-8.744064000763515,2
2-3511,13.406896965049144,6.92902519897481,2
2-3553,6.433575684797105,-1.8450619788881275,2
2-19935,-9.232549804144714,-4.590387600441494,2
2-26031,13.193062115769546,12.802723608968552,2
